lac|cell|lat|lng|fixlat|fixlng|address
20512|12421|31.548058|120.423614|31.5462630416832|120.428260150483|中国江苏省无锡市滨湖区锡甘路221号 邮政编码: 214028
20512|12422|31.538262|120.4241|31.5364656442284|120.428744364228|中国江苏省无锡市滨湖区梅育路 邮政编码: 214028
20512|12423|31.54035|120.413372|31.5385743351204|120.41804563752|中国江苏省无锡市滨湖区新洲路 邮政编码: 214028
20512|12427|31.547851|120.419902|31.5460631006612|120.424558179061|中国江苏省无锡市滨湖区锡甘路215号 邮政编码: 214028
20512|12428|31.543598|120.424331|31.5418014595659|120.428974994766|中国江苏省无锡市滨湖区梅里路82号 邮政编码: 214028
20512|12429|31.535752|120.418286|31.5339667355221|120.422946106722|中国江苏省无锡市滨湖区锡梅路35号-43号 邮政编码: 214028
20512|13101|31.5568|120.437681|31.5549789185616|120.442289773762|中国江苏省无锡市滨湖区金城东路 邮政编码: 214112
20512|13102|31.551667|120.444676|31.5498322645498|120.44926552375|中国江苏省无锡市滨湖区新经路
20512|13103|31.551202|120.435176|31.5493852501631|120.439791109363|中国江苏省无锡市滨湖区新南路16号 邮政编码: 214112
20512|13108|31.551188|120.441812|31.5493586565453|120.446409206945|中国江苏省无锡市滨湖区锡贤路177号-189号
20512|13109|31.552554|120.431941|31.5507434752546|120.436564922455|中国江苏省无锡市滨湖区新南路1号 邮政编码: 214112
20512|13311|31.549623|120.418461|31.5478379101804|120.42312114138|中国江苏省无锡市滨湖区锡甘路211号 邮政编码: 214028
20512|13312|31.53915|120.423667|31.5373545191261|120.428312585526|中国江苏省无锡市滨湖区梅育路 邮政编码: 214111
20512|13313|31.543169|120.414867|31.541390549587|120.419536655987|中国江苏省无锡市滨湖区新洲路 邮政编码: 214028
20512|13317|31.548524|120.422695|31.5467308125044|120.427343656504|中国江苏省无锡市滨湖区锡甘路217号 邮政编码: 214028
20512|13318|31.542652|120.417162|31.5408691399873|120.421825410387|中国江苏省无锡市滨湖区新洲路 邮政编码: 214028
20512|13319|31.550312|120.416092|31.5485314352414|120.420758561641|中国江苏省无锡市滨湖区锡甘路209号 邮政编码: 214028
20512|13511|31.546774|120.384338|31.5450012395744|120.389031504374|中国江苏省无锡市滨湖区海力士·意法路
20512|13512|31.544694|120.38539|31.5429227379793|120.390084581979|中国江苏省无锡市滨湖区海力士·意法路
20512|13513|31.544069|120.382472|31.5422934804414|120.387163491641|中国江苏省无锡市滨湖区鑫明路25号 邮政编码: 214028
20512|14941|31.568687|120.388547|31.5669206071722|120.393245188372|中国江苏省无锡市锡山区G2京沪高速
20512|14942|31.564831|120.391445|31.5630687221292|120.396146144129|中国江苏省无锡市滨湖区锡贤路25号 邮政编码: 214111
20512|14943|31.562751|120.38492|31.5609793262851|120.389614358285|中国江苏省无锡市滨湖区坊前路8号 邮政编码: 214111
20512|14947|31.568853|120.388252|31.567086186885|120.392949886085|中国江苏省无锡市锡山区G2京沪高速
20512|14948|31.559058|120.392251|31.5572968341404|120.39695293374|中国江苏省无锡市滨湖区梅清路 邮政编码: 214111
20512|14949|31.560879|120.388329|31.5591122040188|120.393026872419|中国江苏省无锡市滨湖区312国道 邮政编码: 214111
20512|15881|31.559228|120.391205|31.5574653284103|120.39590584641|中国江苏省无锡市锡山区G2京沪高速
20512|15882|31.555356|120.393345|31.5535963858942|120.398048047894|中国江苏省无锡市锡山区G42沪蓉高速
20512|15883|31.557427|120.388646|31.5556606210262|120.393344162626|中国江苏省无锡市滨湖区锡甘路 邮政编码: 214111
20512|15889|31.556428|120.389808|31.5546632871142|120.394507363914|中国江苏省无锡市滨湖区锡甘路145号 邮政编码: 214111
20512|16151|31.555426|120.420198|31.5536378429887|120.424853684589|中国江苏省无锡市滨湖区新洲路209号 邮政编码: 214111
20512|16152|31.551735|120.425504|31.5499366308989|120.430145227699|中国江苏省无锡市滨湖区锡义路1号 邮政编码: 214028
20512|16153|31.550113|120.416852|31.5483309850086|120.421516503409|中国江苏省无锡市滨湖区锡甘路211号 邮政编码: 214028
20512|16157|31.555347|120.420694|31.5535579027016|120.425348347502|中国江苏省无锡市滨湖区新洲路209号 邮政编码: 214111
20512|16158|31.55071|120.428073|31.5489067011637|120.432707242764|中国江苏省无锡市滨湖区锡义路1号 邮政编码: 214111
20512|16159|31.55011|120.415176|31.5483311689387|120.419845028139|中国江苏省无锡市滨湖区泰伯大道 邮政编码: 214112
20512|16387|31.560562|120.383599|31.5587883917774|120.388291952177|中国江苏省无锡市滨湖区新东坊商业街15号 邮政编码: 214111
20512|16388|31.559118|120.385346|31.5573468853152|120.390040746915|中国江苏省无锡市滨湖区新东坊商业街15号 邮政编码: 214111
20512|16389|31.559365|120.38462|31.5575928430337|120.389313995034|中国江苏省无锡市滨湖区坊育路99号 邮政编码: 214111
20512|16521|31.559371|120.416604|31.5575897635922|120.421269480392|中国江苏省无锡市滨湖区张公路19号 邮政编码: 214111
20512|16522|31.556171|120.421825|31.5543798018642|120.426476341864|中国江苏省无锡市滨湖区锡贤路132号 邮政编码: 214112
20512|16523|31.552525|120.412174|31.5507519308787|120.416851191679|中国江苏省无锡市滨湖区高浪路 邮政编码: 214028
20512|16529|31.555801|120.415969|31.5540208441723|120.420636068972|中国江苏省无锡市滨湖区张公路15号 邮政编码: 214112
20512|18277|31.557999|120.387787|31.5562313888418|120.392484274042|中国江苏省无锡市滨湖区新东坊商业街 邮政编码: 214111
20512|18278|31.554266|120.393325|31.5525063497256|120.398028019726|中国江苏省无锡市滨湖区312国道
20512|18279|31.556782|120.381105|31.5550047303959|120.385795288396|中国江苏省无锡市滨湖区泰伯大道 邮政编码: 214111
20512|18861|31.534273|120.445569|31.5324349855727|120.450154530373|中国江苏省无锡市滨湖区梅育路85号-99号
20512|18862|31.523934|120.445147|31.5220958670966|120.449732749497|中国江苏省无锡市滨湖区锡勤路
20512|18863|31.529051|120.438683|31.5272258815597|120.44328693516|中国江苏省无锡市滨湖区锡梅路70号-80号
20512|18867|31.53457|120.444841|31.5327334183067|120.449428545507|中国江苏省无锡市滨湖区梅育路85号-99号
20512|18868|31.525563|120.448189|31.5237190857108|120.452766534511|中国江苏省无锡市滨湖区新荣路12号-18号 邮政编码: 214028
20512|18869|31.529144|120.439309|31.527317673243|120.443911226043|中国江苏省无锡市滨湖区新韵南路锡梅路
20512|19121|31.543599|120.383995|31.541825690302|120.388688092302|中国江苏省无锡市滨湖区锡兴路
20512|19122|31.539476|120.391363|31.5377133854542|120.396063840254|中国江苏省无锡市滨湖区锡兴路 邮政编码: 214028
20512|19123|31.539668|120.379589|31.5378881931636|120.384277357564|中国江苏省无锡市滨湖区锡士路 邮政编码: 214028
